id,value
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0037519326073709577_to_0.0045067051880330715,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0037519326073709577_to_0.0045067051880330715#diversity_=_1.721954449,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0037519326073709577_to_0.0045067051880330715#diversity_=_1.721954449#betweenness_=_0.011349668,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.002997160026708844_to_0.0037519326073709577,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.002997160026708844_to_0.0037519326073709577#diversity_=_1.909660422,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.002997160026708844_to_0.0037519326073709577#diversity_=_1.909660422#betweenness_=_0.005670667,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_0.6224564925354935_to_1.0153962682677469,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_0.6224564925354935_to_1.0153962682677469#betweennes_3.829530248103208e-05_to_0.00012211425000000002,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_0.6224564925354935_to_1.0153962682677469#betweennes_0.00020593319751896797_to_0.00028975214503793587,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_0.6224564925354935_to_1.0153962682677469#betweennes_-4.552364503793586e-05_to_3.829530248103208e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_1.4083360440000001_to_1.8012758197322534,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_1.4083360440000001_to_1.8012758197322534#betweennes_0.0038067796361707616_to_0.005807459672341524,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_1.4083360440000001_to_1.8012758197322534#betweennes_-0.0001945804361707616_to_0.0018060996,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_1.8012758197322534_to_2.194215595464507,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_1.8012758197322534_to_2.194215595464507#betweennes_0.001360964_to_0.003104747,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_1.8012758197322534_to_2.194215595464507#betweennes_0.003104747_to_0.00484853,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_1.0153962682677469_to_1.4083360440000001,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0008948877218588229_to_0.001715102627906977#diversity_1.0153962682677469_to_1.4083360440000001#betweenness_=_7.31e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.3730589001_to_1.6964727331382239,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.3730589001_to_1.6964727331382239#betweennes_0.0018806991936079545_to_0.002569595637215909,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.3730589001_to_1.6964727331382239#betweennes_-0.0001859901372159088_to_0.0005029063063920456,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.3730589001_to_1.6964727331382239#betweennes_0.0005029063063920456_to_0.00119180275,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.3730589001_to_1.6964727331382239#betweennes_0.00119180275_to_0.0018806991936079545,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_0.4028174009853285_to_0.7262312340235523,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_0.4028174009853285_to_0.7262312340235523#betweenness_=_7.18e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.049645067061776_to_1.3730589001,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.049645067061776_to_1.3730589001#betweennes_5.127734174860372e-05_to_0.0002483463333333333,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.049645067061776_to_1.3730589001#betweennes_0.0004454153249180629_to_0.0006424843165027925,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.6964727331382239_to_2.0198865661764476,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.6964727331382239_to_2.0198865661764476#betweennes_0.002457249_to_0.005850023,1
